Project,Repo,Project license,Repo License,Sourcerank
NPM/unindenter,https://github.com/syntaxhighlighter/unindenter,"GPL-2.0+,MIT",GPL-2.0,11
NPM/openfin-cli,https://github.com/openfin/openfin-cli,MIT,Apache-2.0,11
NPM/vigour-element,https://github.com/vigour-io/element,MIT,ISC,11
NPM/css-to-xpath,https://github.com/featurist/css-to-xpath,MIT,BSD-2-Clause,11
NPM/teasim-tools,https://github.com/teasim/tools,MIT,BSD-3-Clause,11
NPM/cucumis,https://github.com/noblesamurai/cucumis,MIT,GPL-3.0,11
NPM/stringscanner,https://github.com/michaelficarra/cjs-string-scanner,MIT,BSD-3-Clause,11
NPM/352-phantom,https://github.com/amir20/phantomjs-node,"MIT,MIT",ISC,11
NPM/dotcms-ui,https://github.com/dotCMS/core-web,MIT,GPL-3.0,11
NPM/motion-client,https://github.com/steelbrain/motion,MIT,MPL-2.0,11
NPM/haxeshim,https://github.com/lix-pm/haxeshim,MIT,Unlicense,11
NPM/siteshooter,https://github.com/devopsgroup-io/siteshooter,MIT,MPL-2.0,11
NPM/@cxk280/smtp-connection-2,https://github.com/nodemailer/smtp-connection,MIT,EUPL-1.1,11
NPM/webcredits,https://github.com/webcredits/webcredits,MIT,LGPL-3.0,11
NPM/ripple-zxlib,https://github.com/ripple/ripple-lib,MIT,ISC,10
NPM/nodebb-plugin-sso-magento,https://github.com/julianlam/nodebb-plugin-sso-oauth,MIT,BSD-2-Clause,10
NPM/jpush-api-nodejs-client,https://github.com/jpush/jpush-api-nodejs-client,MIT,GPL-2.0,10
NPM/ng-on-http-stable,https://github.com/rjoaopereira/ng-on-http-stable,MIT,Apache-2.0,10
NPM/ambient-attx4,https://github.com/tessel/ambient-attx4,MIT,Apache-2.0,10
NPM/nodebb-plugin-sso-oauth,https://github.com/julianlam/nodebb-plugin-sso-oauth,MIT,BSD-2-Clause,10
NPM/jquery.filer,https://github.com/CreativeDream/jQuery.filer,MIT,Apache-2.0,10
NPM/sortable,https://github.com/dominictarr/sortable,MIT,GPL-3.0+,10
NPM/leaflet-simple-graticule,https://github.com/ablakey/Leaflet.SimpleGraticule,MIT,BSD-2-Clause,10
NPM/photography,https://github.com/ramswaroop/photography,MIT,GPL-3.0,10
NPM/itemsense-node,https://github.com/impinj/itemsense-node,MIT,LGPL-2.1,10
NPM/cache-stampede,https://github.com/ZJONSSON/cache-stampede,MIT,BSD-3-Clause,10
NPM/blockchain-anchor,https://github.com/Tierion/blockchain-anchor,MIT,Apache-2.0,10
NPM/opbeat-js,https://github.com/vanjacosic/opbeat-js,MIT,BSD-2-Clause,10
NPM/modeify,https://github.com/conveyal/modeify,MIT,BSD-3-Clause,10
NPM/exec-promise,https://github.com/JsCommunity/exec-promise,MIT,ISC,10
NPM/shodan-client,https://github.com/jesusprubio/shodan-client.js,MIT,GPL-3.0,10
NPM/karkas,https://github.com/odin3/karkas,MIT,GPL-2.0,10
NPM/rfid-pn532,https://github.com/tessel/rfid-pn532,MIT,Apache-2.0,10
NPM/chip,https://github.com/lighterio/cedar,MIT,ISC,10
